Pet,Furniture,Subway,house_type,district,area,bedroom,suite,garage,total,floor_grouped
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,35,1,0,0,3435,16-20
Não aceita,Mobiliado,Metrô próx.,Apartamento,Centro,35,1,0,1,2851,11-15
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,21,1,0,0,2064,11-15
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bela Vista,27,1,1,0,3106,6-10
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Consolação,28,1,0,0,2982,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,22,1,1,0,2594,20+
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,23,1,1,0,2621,20+
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,22,1,0,0,2799,20+
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,23,1,0,0,2620,20+
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Santa Cecília,106,2,2,0,6057,11-15
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,64,2,0,0,11190,6-10
Aceita pet,Sem mobília,Não próx.,Casa,Cambuci,120,2,0,1,2695,-
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Consolação,56,1,1,0,3228,11-15
Aceita pet,Sem mobília,Metrô próx.,Studio,Bela Vista,35,1,0,0,1327,0-5
Não aceita,Sem mobília,Metrô próx.,Studio,Liberdade,31,1,0,0,1231,11-15
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,50,1,0,1,2203,11-15
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,44,1,0,0,2034,6-10
Aceita pet,Sem mobília,Metrô próx.,Studio,Consolação,42,1,0,0,1881,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,46,1,0,0,2228,16-20
Aceita pet,Sem mobília,Não próx.,Apartamento,Aclimação,50,2,0,0,1843,20+
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Centro,37,1,0,1,3498,16-20
Aceita pet,Sem mobília,Metrô próx.,Studio,Santa Cecília,30,1,0,0,1484,6-10
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bela Vista,61,2,0,1,4971,0-5
Aceita pet,Mobiliado,Metrô próx.,Studio,Centro,20,1,0,0,1657,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Santa Cecília,26,1,1,0,2173,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Aclimação,100,3,1,1,3669,0-5
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bela Vista,42,1,1,1,2859,20+
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Consolação,42,1,0,1,2553,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Aclimação,38,1,0,1,2379,11-15
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Consolação,30,1,1,1,2039,6-10
Aceita pet,Mobiliado,Metrô próx.,Studio,Consolação,46,1,0,1,2868,6-10
Aceita pet,Sem mobília,Metrô próx.,Studio,Consolação,35,1,1,1,3227,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,84,1,0,0,1690,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,72,1,0,0,1776,0-5
Não aceita,Mobiliado,Metrô próx.,Studio,Bela Vista,27,1,0,0,2408,6-10
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bela Vista,40,1,1,0,2872,16-20
Não aceita,Sem mobília,Metrô próx.,Studio,Bela Vista,45,1,0,1,3302,11-15
Não aceita,Mobiliado,Metrô próx.,Apartamento,Brás,35,1,0,0,2381,0-5
Não aceita,Sem mobília,Metrô próx.,Apartamento,Consolação,48,1,1,1,3192,0-5
Não aceita,Mobiliado,Metrô próx.,Studio,Centro,27,1,1,0,2004,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Consolação,35,1,0,0,2021,-
Não aceita,Mobiliado,Metrô próx.,Apartamento,Bela Vista,48,1,0,0,2160,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,25,1,0,0,1936,0-5
Aceita pet,Mobiliado,Metrô próx.,Studio,Consolação,33,1,1,0,1534,16-20
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,28,1,0,0,2216,-
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Centro,38,1,0,0,1781,0-5
Aceita pet,Mobiliado,Metrô próx.,Studio,Santa Cecília,35,1,1,0,2449,11-15
Não aceita,Sem mobília,Metrô próx.,Studio,Bela Vista,25,1,0,1,1590,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Consolação,30,1,1,0,1247,11-15
Aceita pet,Mobiliado,Metrô próx.,Studio,Liberdade,28,1,0,0,2546,11-15
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,55,1,0,1,3016,20+
Aceita pet,Sem mobília,Metrô próx.,Studio,Bela Vista,32,1,0,0,1273,6-10
Não aceita,Sem mobília,Metrô próx.,Apartamento,Liberdade,34,1,0,0,1850,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,44,1,0,0,2022,6-10
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,30,1,0,0,2301,6-10
Não aceita,Sem mobília,Metrô próx.,Apartamento,Bela Vista,57,1,0,0,2918,0-5
Aceita pet,Mobiliado,Metrô próx.,Studio,Centro,20,1,0,0,2173,0-5
Aceita pet,Mobiliado,Metrô próx.,Studio,Bela Vista,40,1,1,1,4025,16-20
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,48,2,0,0,2658,11-15
Aceita pet,Sem mobília,Metrô próx.,Studio,Centro,33,1,0,0,1300,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Consolação,45,1,0,0,2286,0-5
Aceita pet,Sem mobília,Não próx.,Apartamento,Aclimação,66,2,1,2,3742,6-10
Não aceita,Mobiliado,Metrô próx.,Apartamento,Bela Vista,55,1,1,0,3493,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,57,2,1,1,4720,6-10
Não aceita,Sem mobília,Metrô próx.,Studio,Centro,32,1,0,0,1247,16-20
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Consolação,55,2,0,0,3417,6-10
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Consolação,35,1,0,0,2118,0-5
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,65,2,1,1,4185,16-20
Não aceita,Mobiliado,Metrô próx.,Apartamento,Mooca,61,2,0,0,2095,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Centro,37,1,0,0,1548,0-5
Aceita pet,Sem mobília,Não próx.,Apartamento,Aclimação,66,2,1,2,3742,6-10
Aceita pet,Sem mobília,Metrô próx.,Studio,Centro,25,1,0,0,1333,0-5
Aceita pet,Mobiliado,Metrô próx.,Studio,Bela Vista,28,1,1,0,2514,6-10
Aceita pet,Mobiliado,Metrô próx.,Studio,Centro,29,1,0,0,1608,11-15
Não aceita,Sem mobília,Metrô próx.,Studio,Bela Vista,37,1,0,0,3410,11-15
Não aceita,Mobiliado,Metrô próx.,Apartamento,Consolação,64,2,1,1,4226,0-5
Não aceita,Sem mobília,Metrô próx.,Apartamento,Bela Vista,120,4,1,1,6071,11-15
Não aceita,Mobiliado,Metrô próx.,Studio,Consolação,32,1,1,0,3317,6-10
Não aceita,Mobiliado,Metrô próx.,Apartamento,Consolação,67,2,0,0,4569,20+
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Santa Cecília,125,2,0,0,4075,11-15
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bela Vista,85,2,0,0,6709,6-10
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bela Vista,102,2,0,0,4137,6-10
Não aceita,Mobiliado,Metrô próx.,Studio,Bela Vista,28,1,0,1,3549,11-15
Não aceita,Sem mobília,Metrô próx.,Studio,Liberdade,25,1,0,0,2911,6-10
Não aceita,Sem mobília,Metrô próx.,Studio,Liberdade,23,1,0,0,2394,0-5
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Consolação,37,1,0,0,4314,16-20
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bela Vista,50,2,0,1,4974,20+
Aceita pet,Mobiliado,Metrô próx.,Studio,Centro,20,1,1,0,2209,0-5
Não aceita,Sem mobília,Metrô próx.,Studio,Liberdade,23,1,0,0,2616,6-10
Não aceita,Sem mobília,Metrô próx.,Studio,Liberdade,23,1,0,0,2513,0-5
Não aceita,Sem mobília,Metrô próx.,Studio,Bela Vista,38,1,0,0,3868,11-15
Não aceita,Sem mobília,Metrô próx.,Studio,Bela Vista,38,1,0,0,3793,11-15
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Higienópolis,36,1,0,0,3717,-
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,23,1,1,0,1310,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Mooca,54,2,0,1,1921,0-5
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bela Vista,35,1,0,1,2137,6-10
Aceita pet,Sem mobília,Metrô próx.,Studio,Bela Vista,40,1,0,1,2603,16-20
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,80,3,0,0,2808,0-5
Não aceita,Sem mobília,Metrô próx.,Apartamento,Liberdade,38,1,0,0,1879,11-15
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,50,2,0,1,2635,16-20
Não aceita,Sem mobília,Metrô próx.,Studio,Bela Vista,34,1,0,1,2810,6-10
Aceita pet,Sem mobília,Metrô próx.,Studio,Consolação,20,1,0,0,2998,6-10
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bela Vista,44,1,0,1,2644,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Liberdade,84,1,0,0,1586,0-5
Não aceita,Sem mobília,Metrô próx.,Apartamento,Bela Vista,40,1,0,1,3432,0-5
Não aceita,Sem mobília,Metrô próx.,Studio,Bela Vista,40,1,0,1,3432,6-10
Não aceita,Sem mobília,Metrô próx.,Studio,Bela Vista,40,1,0,1,3432,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Aclimação,48,2,0,1,3091,16-20
Não aceita,Mobiliado,Metrô próx.,Apartamento,Consolação,40,1,0,1,2853,11-15
Aceita pet,Sem mobília,Metrô próx.,Studio,Bela Vista,30,1,1,0,1356,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Bela Vista,45,1,0,0,1713,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,56,3,1,1,3314,6-10
Aceita pet,Mobiliado,Metrô próx.,Studio,Bela Vista,39,1,1,1,3101,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Bela Vista,38,1,0,1,3445,11-15
Aceita pet,Sem mobília,Metrô próx.,Studio,Bela Vista,40,1,0,1,3468,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,45,1,0,0,1338,0-5
Não aceita,Sem mobília,Metrô próx.,Apartamento,Mooca,70,2,0,0,1692,0-5
Não aceita,Sem mobília,Metrô próx.,Apartamento,Centro,40,1,0,0,1553,6-10
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Bela Vista,26,1,0,1,1895,6-10
Não aceita,Mobiliado,Metrô próx.,Studio,Consolação,37,1,0,0,2361,0-5
Aceita pet,Sem mobília,Metrô próx.,Studio,Consolação,48,1,0,0,1915,0-5
