Pet,Furniture,Subway,house_type,district,area,bedroom,suite,garage,floor,rent,condominium,is_condominium_included,taxes,is_taxes_included,fire_insurance,service,total
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,45,1,0,0,1,900,408,0,0,0,12,18,1338
Não aceita,Sem mobília,Metrô próx.,Apartamento,Mooca,70,2,0,0,4,1355,248,0,44,0,18,27,1692
Aceita pet,Sem mobília,Metrô próx.,Studio,Consolação,30,1,1,0,14,950,270,0,14,0,13,,1247
Aceita pet,Sem mobília,Metrô próx.,Studio,Centro,29,1,0,0,1,709,390,0,0,0,9,14,1122
Aceita pet,Sem mobília,Metrô próx.,Studio,Bela Vista,30,1,1,0,3,1150,150,0,18,0,15,23,1356
Aceita pet,Sem mobília,Metrô próx.,Studio,Bela Vista,45,1,0,0,6,1400,225,0,42,0,18,28,1713
Aceita pet,Sem mobília,Metrô próx.,Apartamento,Liberdade,56,3,1,1,8,2540,561,0,129,0,33,51,3314
Não aceita,Mobiliado,Metrô próx.,Apartamento,Consolação,44,1,1,1,7,2600,665,0,115,0,33,,3413
Aceita pet,Mobiliado,Metrô próx.,Apartamento,Bela Vista,29,1,0,1,5,2076,608,0,0,0,14,42,2740
Aceita pet,Sem mobília,Metrô próx.,Studio,Consolação,20,1,0,0,8,2486,424,0,56,0,32,,2998
